"ABERFOYLE, THE INN",,,,,,,,,,,,
Grid ref,NN520010,Long,-4.385802,Lat,56.178579,,,,,,,
Station no,RR188,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.20,3.65,4.40,12.05,6.15,3.50,7.90,3.75,6.10,9.25,,
February,3.70,2.20,2.25,9.35,5.80,3.40,3.55,4.85,3.75,2.75,,
March,0.80,2.70,3.90,10.85,2.55,7.60,6.85,5.00,5.25,3.00,,
April,2.85,5.05,1.90,1.50,6.40,3.00,0.65,3.00,1.55,5.95,,
May,5.50,1.80,2.15,1.90,4.40,2.30,5.75,5.05,1.65,4.15,,
June,6.30,4.35,2.10,3.00,3.50,1.60,1.10,5.10,4.20,2.85,,
July,3.90,3.20,3.25,5.40,3.50,3.90,3.45,3.10,4.40,2.65,,
August,3.85,3.65,3.20,8.90,7.00,7.35,5.40,6.75,5.25,3.20,,
September,5.85,4.15,4.30,4.45,6.00,3.05,2.90,2.15,9.95,2.10,,
October,7.25,5.50,3.50,11.70,3.35,4.60,7.55,4.10,2.20,9.25,,
November,7.95,3.30,5.90,3.70,2.00,7.05,4.85,4.55,5.20,3.25,,
December,13.10,6.85,7.55,6.35,3.95,5.15,4.05,7.20,7.65,6.15,,
Total,69.25,46.40,44.40,79.15,54.60,52.50,54.00,54.60,57.15,54.55,,
Calc annual,69.25,46.40,44.40,79.15,54.60,52.50,54.00,54.60,57.15,54.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
