"EBBW VALE IRON WORKS",,,,,,,,,,,,
Grid ref,SO171096,Long,-3.203042,Lat,51.778902,,,,,,,
Station no,4008,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.87,3.69,3.40,,
February,,,,,,,,2.92,2.95,1.18,,
March,,,,,,,,3.27,6.22,6.32,,
April,,,,,,,,5.88,3.33,5.11,,
May,,,,,,,,3.96,3.88,2.07,,
June,,,,,,,,6.66,1.35,3.66,,
July,,,,,,,,2.94,4.15,3.79,,
August,,,,,,,,4.19,8.10,1.93,,
September,,,,,,,,1.12,3.48,4.30,,
October,,,,,,,,10.49,3.34,13.34,,
November,,,,,,,,3.37,4.14,2.76,,
December,,,,,,,,8.03,6.28,11.15,,
Total,,,,,,,,56.70,50.91,59.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.70,50.91,59.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
