"KILKENNY MILLMOUNT",,,,,,,,,,,,
Grid ref,IS5443253864,Long,-7.196667,Lat,52.633556,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.97,3.24,,,,,,,,,,
February,3.23,1.38,,,,,,,,,,
March,0.76,1.73,,,,,,,,,,
April,1.91,2.15,,,,,,,,,,
May,2.04,1.52,,,,,,,,,,
June,4.22,2.45,,,,,,,,,,
July,4.64,0.87,,,,,,,,,,
August,4.07,2.97,,,,,,,,,,
September,1.06,4.27,,,,,,,,,,
October,3.59,2.90,,,,,,,,,,
November,6.07,2.13,,,,,,,,,,
December,3.22,2.46,,,,,,,,,,
Total,38.78,28.07,,,,,,,,,,
Calc annual,38.78,28.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
