"OXENFOORD CASTLE GARDENS",,,,,,,,,,,,
Grid ref,NT388654,Long,-2.979754,Lat,55.877851,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.73,2.03,,
February,,,,,,,,,0.88,1.82,,
March,,,,,,,,,3.32,5.46,,
April,,,,,,,,,1.15,2.22,,
May,,,,,,,,,2.24,1.69,,
June,,,,,,,,,0.91,1.47,,
July,,,,,,,,,4.30,3.47,,
August,,,,,,,,,1.24,2.00,,
September,,,,,,,,,2.38,2.61,,
October,,,,,,,,,0.98,3.58,,
November,,,,,,,,,1.20,0.34,,
December,,,,,,,,,0.23,3.25,,
Total,,,,,,,,,21.56,29.94,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.56,29.94,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
