"CHURCH STRETTON SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SO438909,Long,-2.829553,Lat,52.513076,,,,,,,
Station no,2275,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.66,1.21,1.68,,
February,,,,,,,,1.55,1.72,1.40,,
March,,,,,,,,1.29,3.74,2.87,,
April,,,,,,,,3.43,3.77,2.63,,
May,,,,,,,,2.96,2.78,0.95,,
June,,,,,,,,3.95,1.47,4.21,,
July,,,,,,,,3.31,3.40,2.70,,
August,,,,,,,,3.73,4.73,1.87,,
September,,,,,,,,0.57,2.28,3.37,,
October,,,,,,,,7.01,1.98,4.68,,
November,,,,,,,,2.95,2.26,0.73,,
December,,,,,,,,3.24,3.21,4.70,,
Total,,,,,,,,35.65,32.55,31.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.65,32.55,31.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,,
