"HASSOBURY (BISHOP'S STORTFORD)",,,,,,,,,,,,
Grid ref,TL485251,Long,0.157197,Lat,51.904653,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.92,0.68,0.62,1.92,2.16,1.26,3.60,1.30,1.18,0.85,,
February,2.84,1.18,1.00,0.85,3.27,1.23,2.13,1.39,1.15,0.68,,
March,0.78,2.57,1.61,2.53,1.41,2.63,1.82,0.96,2.81,3.06,,
April,0.88,2.16,0.65,1.56,0.78,1.89,0.66,3.11,3.10,2.11,,
May,1.08,1.78,3.41,2.56,1.40,1.39,1.05,2.31,1.22,1.32,,
June,2.51,1.15,3.03,6.14,1.19,3.43,2.95,2.68,1.56,3.84,,
July,1.15,1.48,2.17,4.76,4.08,1.11,0.89,1.82,3.21,3.46,,
August,3.45,2.35,3.10,4.06,2.19,2.67,1.07,2.13,2.74,1.83,,
September,0.73,1.41,1.14,3.19,1.48,1.45,1.10,0.57,1.78,2.12,,
October,1.88,2.31,1.61,5.89,1.31,1.41,3.98,2.61,1.33,4.28,,
November,2.29,0.94,1.14,1.80,1.73,2.40,4.09,2.19,1.00,0.87,,
December,2.53,3.37,1.32,1.40,2.02,0.86,2.34,2.81,1.89,3.23,,
Total,23.04,21.38,20.80,36.66,23.02,21.73,25.68,23.88,22.97,27.65,,
Calc annual,23.04,21.38,20.80,36.66,23.02,21.73,25.68,23.88,22.97,27.65,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
