"ARBROATH WATER WORKS",,,,,,,,,,,,
Grid ref,NO634407,Long,-2.597023,Lat,56.556839,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.63,1.43,0.70,4.08,1.52,0.44,1.45,0.73,1.27,0.98,,
February,3.37,1.40,1.26,2.92,3.57,0.80,0.75,0.89,0.45,0.56,,
March,1.15,1.49,0.91,1.98,1.58,2.83,0.87,1.41,2.81,2.56,,
April,1.94,2.14,1.80,0.73,0.89,1.48,0.80,1.92,0.53,2.95,,
May,1.03,1.71,2.12,1.36,1.73,1.20,4.25,4.95,1.43,1.81,,
June,1.70,1.54,1.86,1.78,0.70,0.49,1.38,3.65,0.81,0.47,,
July,4.08,0.56,2.78,4.33,0.83,1.43,1.52,1.73,1.71,2.12,,
August,2.90,3.15,1.93,4.40,4.49,3.02,4.71,2.30,1.96,,,
September,2.26,0.75,1.33,1.88,1.76,0.88,1.16,0.92,3.68,,,
October,2.93,1.50,1.19,4.61,0.75,2.04,3.74,3.19,1.69,,,
November,3.36,1.68,2.25,0.97,0.62,4.54,2.86,1.78,1.25,,,
December,3.30,2.60,2.61,2.10,1.37,0.92,2.70,2.63,2.00,,,
Total,31.65,19.95,20.74,31.14,19.81,20.07,26.19,26.10,19.59,,,
Calc annual,31.65,19.95,20.74,31.14,19.81,20.07,26.19,26.10,19.59,11.45,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,NaN,,
