"WIMBORNE CORFE MULLEN POOLE W.W.",,,,,,,,,,,,
Grid ref,SY973981,Long,-2.039665,Lat,50.782468,,,,,,,
Station no,1607,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.01,0.96,,
February,,,,,,,,,1.12,0.47,,
March,,,,,,,,,3.46,4.16,,
April,,,,,,,,,2.71,1.42,,
May,,,,,,,,,2.71,1.75,,
June,,,,,,,,,0.30,4.17,,
July,,,,,,,,,2.02,2.62,,
August,,,,,,,,,4.32,2.91,,
September,,,,,,,,,2.03,3.49,,
October,,,,,,,,,2.46,8.85,,
November,,,,,,,,,0.95,0.60,,
December,,,,,,,,,3.85,5.31,,
Total,,,,,,,,,26.94,36.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.94,36.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
