"GELDESTON (BECCLES)",,,,,,,,,,,,
Grid ref,TM389912,Long,1.515645,Lat,52.466431,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.66,0.41,0.89,1.55,1.97,0.83,3.66,1.57,0.48,0.70,,
February,2.77,1.51,0.62,0.12,2.50,1.12,2.13,1.13,1.72,1.01,,
March,0.91,1.89,1.08,1.80,1.47,1.44,2.05,1.26,2.33,2.69,,
April,1.19,2.13,1.39,2.20,0.78,1.81,0.84,2.67,2.43,1.12,,
May,1.61,0.95,3.39,2.20,1.81,1.25,2.75,2.74,1.34,0.95,,
June,2.88,1.99,1.79,2.54,0.60,3.50,1.93,2.19,0.51,2.67,,
July,1.85,1.04,1.99,3.32,2.60,0.44,0.47,1.06,2.13,2.60,,
August,3.65,0.98,3.51,4.22,2.63,2.72,1.29,1.28,2.39,1.97,,
September,1.03,1.05,1.24,2.61,1.39,1.86,1.36,0.29,1.28,2.17,,
October,1.90,1.99,1.43,3.83,0.93,3.40,3.18,3.44,2.12,4.20,,
November,1.65,1.87,1.33,1.49,1.87,1.92,3.96,2.36,1.49,1.14,,
December,2.49,4.26,1.25,1.07,2.12,1.21,2.47,2.52,1.22,4.45,,
Total,24.59,20.07,19.91,26.95,20.67,21.50,26.09,22.51,19.44,25.67,,
Calc annual,24.59,20.07,19.91,26.95,20.67,21.50,26.09,22.51,19.44,25.67,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
