"UPPER DON, DELNADAMPH, NO 15",,,,,,,,,,,,
Grid ref,NJ205076,Long,-3.315707,Lat,57.152365,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.20,3.70,,
February,,,,,,,,,3.10,1.40,,
March,,,,,,,,,6.00,7.50,,
April,,,,,,,,,3.30,4.70,,
May,,,,,,,,,1.40,2.80,,
June,,,,,,,,,1.60,2.50,,
July,,,,,,,,,4.50,5.20,,
August,,,,,,,,,2.90,2.10,,
September,,,,,,,,,5.50,2.50,,
October,,,,,,,,,1.60,5.00,,
November,,,,,,,,,2.50,2.50,,
December,,,,,,,,,2.70,3.10,,
Total,,,,,,,,,37.30,43.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.30,43.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,,
