"LIFFORD SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SP056799,Long,-1.919089,Lat,52.417068,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.73,,,,,,,,,,,
February,4.48,,,,,,,,,,,
March,0.76,,,,,,,,,,,
April,1.29,,,,,,,,,,,
May,1.99,,,,,,,,,,,
June,2.91,,,,,,,,,,,
July,1.83,,,,,,,,,,,
August,3.34,,,,,,,,,,,
September,0.97,,,,,,,,,,,
October,3.54,,,,,,,,,,,
November,2.94,,,,,,,,,,,
December,5.00,,,,,,,,,,,
Total,32.78,,,,,,,,,,,
Calc annual,32.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
