"HAMMERWICK CANNOCK CHASE RESERVOIR",,,,,,,,,,,,
Grid ref,SK046073,Long,-1.933422,Lat,52.663399,,,,,,,
Station no,2339,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.17,1.25,1.18,1.80,2.41,0.76,3.50,1.16,0.65,1.16,,
February,3.95,1.19,1.33,1.04,3.05,0.61,2.10,1.19,1.18,0.46,,
March,0.71,1.45,1.52,4.23,1.31,2.62,1.40,1.18,2.62,2.60,,
April,0.94,1.53,1.95,1.77,1.28,1.71,1.24,1.54,2.39,1.42,,
May,1.54,0.98,2.11,2.01,2.39,0.39,2.23,3.52,2.63,1.38,,
June,1.79,3.27,2.36,1.19,0.40,2.76,1.68,2.56,2.26,3.05,,
July,3.03,3.57,1.19,1.88,2.29,1.47,0.91,3.07,2.05,3.28,,
August,4.24,2.06,3.90,4.76,2.78,3.89,1.10,2.39,2.89,1.73,,
September,0.91,0.57,1.76,3.66,1.79,1.70,1.75,0.77,1.88,2.16,,
October,3.37,1.73,2.34,5.25,0.85,1.42,4.63,4.61,1.94,3.17,,
November,2.11,1.35,1.87,2.29,1.43,2.21,2.12,2.25,1.75,0.58,,
December,3.39,4.06,1.46,1.37,1.61,0.55,2.32,2.42,1.75,3.96,,
Total,29.15,23.01,22.97,31.25,21.59,20.09,24.98,26.66,23.99,24.95,,
Calc annual,29.15,23.01,22.97,31.25,21.59,20.09,24.98,26.66,23.99,24.95,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
