"SLEAFORD, BLOXHOLM HALL",,,,,,,,,,,,
Grid ref,TF063538,Long,-0.414886,Lat,53.070869,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,0.84,1.15,1.46,1.05,0.75,2.78,,,,,
February,4.51,1.31,1.66,0.51,3.01,0.48,1.99,,,,,
March,0.50,1.57,1.35,3.00,1.38,1.53,1.73,,,,,
April,0.99,1.29,1.77,0.90,1.03,1.61,0.67,,,,,
May,1.38,1.53,2.89,2.67,1.43,0.67,1.76,,,,,
June,1.48,0.87,2.04,0.92,0.80,2.62,2.03,,,,,
July,0.87,2.70,1.02,2.32,3.31,1.43,1.78,,,,,
August,4.21,1.85,4.00,4.03,1.51,3.18,1.78,,,,,
September,0.92,1.20,0.85,2.88,2.55,2.29,1.20,,,,,
October,2.18,2.06,2.17,5.48,0.94,1.38,4.66,,,,,
November,0.90,1.52,1.15,1.85,0.82,2.16,2.86,,,,,
December,3.87,4.09,1.49,0.94,1.42,1.00,2.04,,,,,
Total,24.72,20.83,21.54,26.96,19.25,19.10,25.28,,,,,
Calc annual,24.72,20.83,21.54,26.96,19.25,19.10,25.28,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
