"LIBERTON ALNWICK HILL",,,,,,,,,,,,
Grid ref,NT272689,Long,-3.166064,Lat,55.907676,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,2.22,1.02,4.58,2.81,0.99,3.51,1.15,3.09,3.42,,
February,3.72,1.13,0.50,4.01,3.23,1.24,1.11,1.31,1.27,1.28,,
March,1.41,2.23,1.20,4.37,1.18,2.74,2.37,2.07,3.30,5.07,,
April,1.81,1.80,1.21,0.95,2.08,1.47,1.02,0.94,1.60,2.38,,
May,1.38,2.11,2.10,1.60,2.98,0.88,5.00,2.76,2.57,1.56,,
June,2.63,2.20,3.29,1.50,2.81,0.93,1.55,3.37,1.00,2.15,,
July,2.75,1.21,2.49,4.04,1.33,1.49,1.22,2.78,3.77,3.51,,
August,4.59,2.90,1.32,2.38,4.87,2.63,5.78,3.41,0.89,1.59,,
September,2.45,1.05,1.42,2.35,1.39,1.48,0.55,1.44,3.02,2.69,,
October,3.81,1.73,1.61,6.31,0.82,1.68,6.44,8.44,1.16,5.07,,
November,4.97,3.00,0.66,1.64,1.11,3.62,3.93,1.28,1.54,0.76,,
December,5.47,2.92,2.25,1.07,2.35,1.39,1.21,4.34,0.47,3.41,,
Total,38.12,24.50,19.07,34.80,26.96,20.54,33.69,33.29,23.68,32.89,,
Calc annual,38.12,24.50,19.07,34.80,26.96,20.54,33.69,33.29,23.68,32.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,,
