"HERRINGFLEET [GT YARMOUTH] THE GABLES",,,,,,,,,,,,
Grid ref,TM464984,Long,1.631147,Lat,52.527699,,,,,,,
Station no,1380,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.84,0.71,,
February,,,,,,,,,2.19,1.05,,
March,,,,,,,,1.14,2.38,2.71,,
April,,,,,,,,2.77,2.50,1.60,,
May,,,,,,,,2.94,1.37,1.19,,
June,,,,,,,,2.05,0.83,2.59,,
July,,,,,,,,1.29,2.49,2.94,,
August,,,,,,,,1.17,2.55,1.50,,
September,,,,,,,,0.52,2.02,2.51,,
October,,,,,,,,3.78,2.38,4.33,,
November,,,,,,,,2.79,1.69,1.27,,
December,,,,,,,,2.82,1.65,5.05,,
Total,,,,,,,,,22.89,27.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.27,22.89,27.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
