"CRATHES SPYHILL",,,,,,,,,,,,
Grid ref,NO760917,Long,-2.396861,Lat,57.015804,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.00,,,,,,,,,
February,,,1.70,,,,,,,,,
March,,,1.20,,,,,,,,,
April,,,3.90,,,,,,,,,
May,,,4.15,,,,,,,,,
June,,,2.40,,,,,,,,,
July,,,4.61,,,,,,,,,
August,,,2.60,,,,,,,,,
September,,,2.30,,,,,,,,,
October,,,2.50,,,,,,,,,
November,,,7.90,,,,,,,,,
December,,,7.92,,,,,,,,,
Total,,,43.18,,,,,,,,,
Calc annual,0.00,0.00,43.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
