"BLAIRGOWRIE BALLINTUIM",,,,,,,,,,,,
Grid ref,NO107545,Long,-3.458911,Lat,56.673703,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.77,1.74,5.65,3.65,1.33,5.33,2.18,2.30,4.08,,
February,,1.76,1.76,5.12,4.11,2.24,2.72,2.53,2.47,0.80,,
March,,2.69,1.81,7.47,2.55,6.02,1.55,2.20,5.56,3.96,,
April,,2.75,2.64,1.83,3.88,2.37,1.25,3.45,1.17,5.46,,
May,,3.39,1.85,1.45,2.29,2.61,4.52,3.75,2.53,3.27,,
June,,2.89,1.74,2.38,2.20,2.11,0.79,4.52,1.78,1.40,,
July,,1.99,2.81,4.85,1.75,1.47,1.40,2.61,2.54,2.27,,
August,3.29,4.93,3.27,6.23,4.93,5.20,5.22,3.96,2.60,1.58,,
September,2.57,3.44,3.05,2.91,3.06,1.80,1.95,1.26,5.09,1.72,,
October,3.97,4.11,2.15,8.07,1.35,2.69,5.17,4.49,5.60,6.42,,
November,5.01,1.31,6.97,1.50,1.01,6.70,4.43,2.98,3.47,1.21,,
December,6.19,3.95,7.10,4.80,2.63,2.65,2.58,4.08,2.78,3.04,,
Total,41.03,36.98,36.89,52.26,33.41,37.19,36.91,38.01,37.89,35.21,,
Calc annual,21.03,36.98,36.89,52.26,33.41,37.19,36.91,38.01,37.89,35.21,,
Difference,20.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
