"CALLANDER LENY",,,,,,,,,,,,
Grid ref,NN613089,Long,-4.240251,Lat,56.252301,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.10,3.50,4.10,12.00,5.80,3.70,10.70,4.50,8.30,9.40,,
February,2.60,1.00,2.00,10.00,5.20,4.20,4.70,7.20,4.60,3.10,,
March,0.20,3.00,3.80,11.00,2.50,7.20,4.70,5.50,7.10,2.70,,
April,3.40,4.20,1.20,1.60,7.80,3.60,2.10,2.70,1.50,5.20,,
May,5.00,1.50,1.60,1.00,4.00,3.00,6.20,5.20,4.10,4.70,,
June,4.70,1.60,2.00,3.30,2.00,1.70,1.00,6.50,3.10,2.20,,
July,2.50,3.10,2.70,5.80,3.00,3.30,3.70,2.70,4.90,3.50,,
August,4.10,3.40,2.50,6.70,6.50,7.20,6.50,7.40,5.20,3.70,,
September,5.10,4.60,3.30,4.10,6.80,3.80,2.90,2.10,10.50,1.80,,
October,5.80,5.50,3.60,12.05,3.50,5.00,8.30,4.90,2.30,9.40,,
November,6.90,5.40,5.40,4.00,2.10,8.00,5.00,4.10,6.20,3.50,,
December,14.00,5.10,6.40,5.90,8.60,6.10,4.10,9.10,6.20,7.80,,
Total,63.40,41.90,38.60,77.45,57.80,56.80,59.90,61.90,64.00,57.00,,
Calc annual,63.40,41.90,38.60,77.45,57.80,56.80,59.90,61.90,64.00,57.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
