"SHEEPSTOR",,,,,,,,,,,,
Grid ref,SX565682,Long,-4.024582,Lat,50.495979,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.44,5.74,3.56,7.50,8.70,2.65,11.10,2.54,3.25,2.85,,
February,10.00,2.15,3.10,5.05,8.75,1.78,6.50,3.32,3.50,0.69,,
March,2.92,4.85,4.60,7.80,1.31,7.80,2.09,2.20,5.10,7.70,,
April,2.71,5.77,3.05,2.70,3.65,4.15,1.55,8.60,3.55,3.75,,
May,3.30,2.90,2.35,3.40,3.65,0.88,5.34,4.65,3.25,1.70,,
June,6.14,2.83,3.70,1.46,2.33,2.73,1.84,5.05,1.10,2.84,,
July,2.54,1.92,3.45,5.00,7.40,1.15,2.70,2.90,4.00,5.58,,
August,4.77,4.98,4.75,5.85,3.65,6.07,4.00,3.70,6.63,3.10,,
September,2.88,5.05,2.30,4.98,3.40,2.68,1.80,2.06,2.90,1.75,,
October,4.05,3.50,4.05,11.62,2.35,3.50,9.50,8.80,2.60,12.50,,
November,6.34,1.39,7.75,3.55,2.50,7.80,4.70,5.35,3.25,1.98,,
December,11.35,11.00,5.72,7.23,5.60,2.95,4.50,7.79,5.85,9.40,,
Total,66.44,52.08,48.38,66.14,53.29,44.14,55.62,56.96,44.98,53.84,,
Calc annual,66.44,52.08,48.38,66.14,53.29,44.14,55.62,56.96,44.98,53.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
