"BRITON FERRY BAGLAN HOUSE",,,,,,,,,,,,
Grid ref,SS751932,Long,-3.805683,Lat,51.623716,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.36,,,,
February,,,,,,,,3.27,,,,
March,,,,,,,,2.22,,,,
April,,,,,,,,4.19,,,,
May,,,,,,,,3.45,,,,
June,,,,,,,,6.13,,,,
July,,,,,,,,2.35,,,,
August,,,,,,,,4.70,,,,
September,,,,,,,,0.86,,,,
October,,,,,,,,7.56,,,,
November,,,,,,,,3.49,,,,
December,,,,,,,,6.56,,,,
Total,,,,,,,,47.14,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.14,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
