"FORTROSE RADDERY",,,,,,,,,,,,
Grid ref,NH710593,Long,-4.160507,Lat,57.605200,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,0.90,1.98,3.81,2.02,,,,
February,,,,,1.42,3.14,3.36,2.66,,,,
March,,,,,0.54,4.28,2.31,1.88,,,,
April,,,,,3.73,1.64,1.92,1.56,,,,
May,,,,,1.46,2.22,3.13,3.01,,,,
June,,,,,1.11,0.36,0.81,4.86,,,,
July,,,,,1.15,2.36,2.87,2.03,,,,
August,,,,,4.31,1.91,3.15,3.32,,,,
September,,,,,1.50,2.00,1.65,1.03,,,,
October,,,,,1.16,3.28,3.55,3.23,,,,
November,,,,,2.46,4.72,4.55,2.95,,,,
December,,,,,2.13,1.72,2.65,2.49,,,,
Total,,,,,21.87,29.61,33.76,31.04,,,,
Calc annual,0.00,0.00,0.00,0.00,21.87,29.61,33.76,31.04,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,,
