"BATHGATE FILTER GAUGE NO 1",,,,,,,,,,,,
Grid ref,NS977706,Long,-3.638397,Lat,55.917573,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.41,,
February,,,,,,,,,,2.02,,
March,,,,,,,,,,5.74,,
April,,,,,,,,,1.75,2.85,,
May,,,,,,,,,2.44,2.19,,
June,,,,,,,,,1.47,2.32,,
July,,,,,,,,,2.94,3.25,,
August,,,,,,,,,3.10,2.58,,
September,,,,,,,,,4.23,2.14,,
October,,,,,,,,,0.98,4.99,,
November,,,,,,,,,2.00,1.44,,
December,,,,,,,,,1.30,4.17,,
Total,,,,,,,,,,37.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.21,37.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
