"TIGHNABRUAICH CRAIGANDARAICH",,,,,,,,,,,,
Grid ref,NR975723,Long,-5.240720,Lat,55.901093,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.92,4.49,5.57,7.91,7.34,5.34,7.20,4.10,6.95,6.74,,
February,4.24,2.95,2.18,8.41,5.44,5.74,6.19,4.64,6.19,3.68,,
March,0.69,3.35,4.97,8.62,3.91,6.61,5.35,6.72,7.47,1.85,,
April,4.04,5.09,1.95,2.48,6.67,3.22,3.27,2.61,2.18,5.06,,
May,4.81,2.36,4.03,3.46,4.34,2.95,7.22,4.68,3.25,5.08,,
June,4.35,4.69,1.54,2.60,2.85,1.09,2.20,6.02,3.84,3.20,,
July,5.02,1.43,4.75,5.08,4.08,4.03,4.30,5.01,6.11,5.71,,
August,4.93,4.79,3.88,9.45,5.03,6.59,4.91,6.48,6.25,3.50,,
September,5.62,4.06,6.81,4.05,7.26,4.19,4.87,3.53,8.82,2.79,,
October,6.54,7.93,4.24,10.61,3.45,6.07,8.92,7.31,2.08,7.36,,
November,7.57,6.75,5.85,5.83,5.81,6.78,5.84,5.76,5.36,3.45,,
December,9.51,5.69,6.45,4.93,6.16,4.46,7.67,7.51,7.75,4.35,,
Total,66.24,53.58,52.22,73.43,62.34,57.07,67.94,64.37,66.25,52.77,,
Calc annual,66.24,53.58,52.22,73.43,62.34,57.07,67.94,64.37,66.25,52.77,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
