"ARDKINGLAS",,,,,,,,,,,,
Grid ref,NN175104,Long,-4.947303,Lat,56.250954,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,11.40,9.72,,
February,,,,,,,,,9.34,4.36,,
March,,,,,,,,,12.70,2.29,,
April,,,,,,,,,2.40,6.55,,
May,,,,,,,,,4.03,5.38,,
June,,,,,,,,,3.94,2.36,,
July,,,,,,,,,4.97,5.73,,
August,,,,,,,,,5.83,4.36,,
September,,,,,,,,,10.07,2.56,,
October,,,,,,,,,2.52,12.51,,
November,,,,,,,,,6.20,5.92,,
December,,,,,,,,,9.43,7.86,,
Total,,,,,,,,,82.83,69.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.83,69.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
