"WHITHORN CUTREOCH",,,,,,,,,,,,
Grid ref,NX467357,Long,-4.380037,Lat,54.692928,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.36,2.45,2.35,5.03,2.96,1.65,3.35,1.90,3.28,1.94,,
February,4.36,1.71,3.35,2.77,4.47,2.92,2.40,2.41,2.50,2.67,,
March,0.60,2.04,1.93,3.78,2.48,3.23,2.44,3.74,3.78,4.18,,
April,2.34,2.70,1.48,1.41,2.06,2.91,1.15,2.40,3.55,3.29,,
May,3.01,1.02,2.55,3.11,2.31,1.23,4.18,4.20,2.18,1.45,,
June,2.18,2.39,2.29,2.18,1.23,2.09,1.18,5.50,2.17,3.24,,
July,2.82,1.67,3.28,3.94,2.93,1.33,2.65,1.93,2.99,5.02,,
August,5.81,3.69,2.03,4.15,4.87,4.95,4.19,4.12,3.50,1.63,,
September,2.48,2.32,3.64,4.52,2.85,1.98,1.22,0.97,3.31,2.58,,
October,4.79,7.12,2.63,7.72,1.96,2.88,5.08,8.96,1.56,8.15,,
November,4.04,4.09,4.01,3.05,3.46,3.65,2.75,4.75,3.35,1.42,,
December,4.01,5.05,3.15,2.95,2.60,1.60,4.90,4.88,5.21,4.71,,
Total,40.80,36.25,32.69,44.61,34.18,30.42,35.49,45.76,37.38,40.28,,
Calc annual,40.80,36.25,32.69,44.61,34.18,30.42,35.49,45.76,37.38,40.28,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
