"LYMPSTONE WATTON",,,,,,,,,,,,
Grid ref,SY008841,Long,-3.404479,Lat,50.648111,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.87,1.30,,,,,,
February,,,,,5.62,0.82,,,,,,
March,,,,,1.84,4.31,,,,,,
April,,,,,0.89,2.60,,,,,,
May,,,,,2.66,0.63,,,,,,
June,,,,,1.09,2.63,,,,,,
July,,,,,5.52,0.37,,,,,,
August,,,,,3.26,4.23,,,,,,
September,,,,,1.53,1.41,,,,,,
October,,,,,1.69,2.36,,,,,,
November,,,,,1.33,4.51,,,,,,
December,,,,,2.91,0.71,,,,,,
Total,,,,,32.21,25.88,,,,,,
Calc annual,0.00,0.00,0.00,0.00,32.21,25.88,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,NaN,NaN,NaN,NaN,,
