"RILLINGTON SCAMPSTON HALL THE GARDEN",,,,,,,,,,,,
Grid ref,SE764857,Long,-0.828622,Lat,54.261271,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.49,,0.80,1.36,0.74,,
February,,,,,,0.91,,1.05,2.34,1.71,,
March,,,,,,1.91,,1.02,3.31,4.98,,
April,,,,,,1.39,,1.63,2.69,2.54,,
May,,,,,,1.10,,3.15,1.75,1.46,,
June,,,,,,1.27,,2.28,0.67,1.56,,
July,,,,,,1.39,,1.59,1.73,2.39,,
August,,,,,,2.86,,1.97,2.00,4.17,,
September,,,,,,1.55,,0.57,2.24,1.41,,
October,,,,,,1.76,,4.50,1.19,2.82,,
November,,,,,,2.70,,2.14,1.51,1.03,,
December,,,,,,0.40,,3.64,2.08,5.02,,
Total,,,,,,17.73,,24.34,22.87,29.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.73,0.00,24.34,22.87,29.83,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,-0.00,-0.00,-0.00,,
