"STRATHFIELD TURGISS",,,,,,,,,,,,
Grid ref,SU705596,Long,-0.989476,Lat,51.331135,,,,,,,
Station no,RR102,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.71,1.07,0.97,2.54,3.27,,,,,,,
February,3.85,1.45,0.98,1.51,6.40,,,,,,,
March,1.11,2.01,1.60,3.58,1.14,,,,,,,
April,1.36,2.45,0.96,1.68,1.77,,,,,,,
May,1.67,0.52,2.53,3.07,2.97,,,,,,,
June,2.75,1.77,2.30,5.20,0.71,,,,,,,
July,0.63,2.48,1.19,4.29,1.65,,,,,,,
August,2.28,2.33,3.77,3.26,2.80,,,,,,,
September,0.88,1.45,1.48,2.23,1.41,,,,,,,
October,2.47,2.40,1.56,8.83,1.68,,,,,,,
November,2.12,0.47,2.41,1.76,1.64,,,,,,,
December,3.59,4.27,1.70,3.13,2.46,,,,,,,
Total,25.42,22.67,21.45,41.08,27.90,,,,,,,
Calc annual,25.42,22.67,21.45,41.08,27.90,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
