"LAKE COWLYD UPPER BRWYNOG NO. 16",,,,,,,,,,,,
Grid ref,SH743641,Long,-3.881448,Lat,53.159144,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.00,15.02,,,-999.00,,,,,
February,,-999.00,,28.18,19.40,7.14,,,9.60,12.70,,
March,,,9.82,,,7.54,8.99,-999.00,6.45,7.70,,
April,,-999.00,,6.00,11.37,7.64,7.29,5.41,9.85,5.10,,
May,,-999.00,8.94,,,,,4.76,8.00,3.90,,
June,,-999.00,,1.44,6.60,-999.00,8.40,5.54,,,,
July,,,,5.66,,-999.00,2.30,3.98,10.30,6.22,,
August,,-999.00,,10.47,13.40,,5.36,2.53,,,,
September,,,,,,,5.61,6.86,,11.70,,
October,,-999.00,21.87,15.80,8.55,14.78,8.34,0.80,17.94,15.15,,
November,,11.90,5.46,18.96,,,9.52,11.47,2.75,,,
December,,14.04,13.24,7.64,9.52,-999.00,15.94,-999.00,21.00,17.30,,
Total,,87.46,62.33,109.17,79.36,62.26,84.25,61.71,85.89,79.77,,
Calc annual,0.00,25.94,62.33,109.17,68.84,37.10,71.75,41.35,85.89,79.77,,
Difference,NaN,61.52,0.00,0.00,10.52,25.16,12.50,20.36,0.00,0.00,,
