"MASHAM MOOR ROUNDHILLS RES",,,,,,,,,,,,
Grid ref,SE150775,Long,-1.771605,Lat,54.193047,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.45,4.79,3.60,1.14,4.89,1.17,2.37,1.49,,
February,,,1.63,4.60,4.33,1.88,2.59,1.98,2.08,0.92,,
March,,,1.14,6.62,2.81,2.65,2.65,2.77,4.85,4.81,,
April,,,1.57,1.48,2.50,2.90,0.74,1.87,2.30,2.86,,
May,,,2.15,4.63,3.44,0.59,4.07,4.46,2.53,1.74,,
June,,,1.72,2.37,1.74,1.57,1.31,4.19,2.20,3.09,,
July,,,2.44,3.13,1.96,0.55,0.97,2.00,2.99,2.68,,
August,,,2.67,3.85,3.12,3.93,2.82,1.59,2.81,3.35,,
September,,,1.83,4.67,1.15,2.31,0.54,0.35,4.05,1.96,,
October,,,4.23,9.04,0.94,1.82,6.72,7.10,2.16,3.50,,
November,,,2.79,1.39,2.29,6.50,3.93,2.54,2.12,1.16,,
December,,,4.03,2.80,1.58,1.06,2.37,4.11,1.54,4.89,,
Total,,,27.65,49.37,29.46,26.90,33.60,34.13,32.00,32.45,,
Calc annual,0.00,0.00,27.65,49.37,29.46,26.90,33.60,34.13,32.00,32.45,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
