"KENTON SOUTHTOWN HOUSE",,,,,,,,,,,,
Grid ref,SX963831,Long,-3.467827,Lat,50.638336,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.61,3.19,1.50,4.02,5.78,1.86,6.09,1.08,0.94,,,
February,6.11,1.45,2.05,2.30,6.71,1.19,3.69,1.40,1.39,,,
March,1.52,4.14,2.28,4.46,2.26,5.21,1.24,0.21,3.03,,,
April,1.75,3.79,2.06,2.23,1.10,2.53,1.25,4.48,2.62,,,
May,2.03,1.67,2.04,3.13,2.60,0.72,1.83,2.55,1.62,,,
June,2.85,2.16,2.50,3.26,1.06,2.56,1.96,2.32,0.19,,,
July,0.77,1.60,2.14,4.01,5.50,0.31,1.05,1.25,1.55,,,
August,1.75,1.55,3.14,3.45,3.66,5.11,1.24,0.83,3.87,,,
September,0.98,3.60,2.64,3.87,1.90,1.57,0.95,0.52,2.91,,,
October,1.80,1.71,3.73,8.45,1.80,2.22,5.46,7.57,2.78,,,
November,4.42,0.87,5.23,1.61,1.64,4.50,2.27,3.60,0.90,,,
December,5.54,7.05,2.65,4.70,3.54,1.09,1.90,5.41,2.99,,,
Total,35.13,32.78,31.96,45.49,37.55,28.87,28.93,31.22,24.79,,,
Calc annual,35.13,32.78,31.96,45.49,37.55,28.87,28.93,31.22,24.79,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
