"CHURCH EATON RECTORY",,,,,,,,,,,,
Grid ref,SJ849175,Long,-2.225170,Lat,52.754897,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.35,1.30,1.41,,
February,,,,,,,,1.48,1.47,0.55,,
March,,,,,,,,1.33,2.79,2.55,,
April,,,,,,,,1.89,2.69,1.84,,
May,,,,,,,,4.17,3.28,1.63,,
June,,,,,,,,2.45,2.43,2.78,,
July,,,,,,,,3.62,3.13,3.72,,
August,,,,,,,,2.72,2.19,2.09,,
September,,,,,,,,0.89,2.80,2.63,,
October,,,,,,,,3.89,1.67,3.76,,
November,,,,,,,,2.34,2.03,0.97,,
December,,,,,,,,2.51,2.39,4.18,,
Total,,,,,,,,28.64,28.17,28.11,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.64,28.17,28.11,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
