"MOFFAT AUCHEN CASTLE",,,,,,,,,,,,
Grid ref,NT068038,Long,-3.470217,Lat,55.319410,,,,,,,
Station no,1145493,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.99,4.21,5.24,7.43,4.78,3.17,7.39,3.75,6.39,6.36,,
February,4.73,0.69,2.01,8.86,4.85,3.74,4.19,4.74,3.20,3.11,,
March,0.41,2.66,3.32,12.61,4.42,6.39,4.84,4.92,6.76,3.96,,
April,4.58,4.93,2.87,1.68,6.39,4.04,2.00,2.39,1.85,4.01,,
May,5.40,2.52,2.28,2.48,2.60,3.18,6.73,5.16,3.60,2.64,,
June,5.48,4.29,1.44,2.05,3.52,2.58,1.63,6.09,3.83,2.43,,
July,2.74,2.00,2.94,4.67,4.08,2.34,2.64,3.84,2.64,4.09,,
August,4.57,5.57,3.42,7.01,5.39,4.63,7.60,6.05,4.50,1.85,,
September,5.33,4.85,3.25,4.24,3.07,2.48,1.21,0.99,6.98,2.87,,
October,5.89,6.61,3.94,12.27,3.59,3.97,6.83,7.88,2.33,12.06,,
November,6.57,4.07,4.84,4.57,3.35,4.97,4.66,4.51,4.09,2.57,,
December,11.57,7.20,6.70,5.06,5.07,3.97,3.58,6.36,4.81,6.60,,
Total,64.26,49.60,42.25,72.93,51.11,45.46,53.30,56.68,50.98,52.55,,
Calc annual,64.26,49.60,42.25,72.93,51.11,45.46,53.30,56.68,50.98,52.55,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
