"NORTHAMPTON HAZELWOOD ROAD",,,,,,,,,,,,
Grid ref,SP758603,Long,-0.891453,Lat,52.235685,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.87,,
February,,,,,,,,,,0.44,,
March,,,,,,,,,,2.23,,
April,,,,,,,,,,1.75,,
May,,,,,,,,,,1.35,,
June,,,,,,,,,,3.11,,
July,,,,,,,,,,2.50,,
August,,,,,,,,,,2.03,,
September,,,,,,,,,,2.88,,
October,,,,,,,,,,3.00,,
November,,,,,,,,,,0.83,,
December,,,,,,,,,,3.51,,
Total,,,,,,,,,,24.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
