"HADDINGTON DISTRICT ASYLUM",,,,,,,,,,,,
Grid ref,NT509743,Long,-2.788000,Lat,55.959196,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.65,1.97,0.96,2.28,1.05,,
February,,,,,,0.71,0.66,1.07,0.81,1.51,,
March,,,,,,1.92,2.32,1.37,3.17,5.26,,
April,,,,,,1.63,0.99,1.45,1.70,2.03,,
May,,,,,,1.23,6.25,2.98,1.95,2.12,,
June,,,,,,0.83,1.59,3.14,0.73,1.25,,
July,,,,,,3.14,1.53,2.80,3.66,2.44,,
August,,,,,,2.40,5.73,3.25,1.35,1.95,,
September,,,,,,2.35,0.55,1.83,3.23,2.74,,
October,,,,,,2.06,7.77,8.10,0.95,2.75,,
November,,,,,,4.38,3.95,1.73,1.29,0.16,,
December,,,,,,1.03,2.36,4.05,0.50,2.33,,
Total,,24.50,22.00,32.00,-999.00,22.33,35.67,32.73,21.62,25.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,22.33,35.67,32.73,21.62,25.59,,
Difference,NaN,24.50,22.00,32.00,-999.00,-0.00,0.00,-0.00,0.00,-0.00,,
