"KINGTON GRAVEL HILL",,,,,,,,,,,,
Grid ref,SO299568,Long,-3.027206,Lat,52.204948,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.58,2.70,1.74,4.00,4.02,1.06,5.39,1.60,1.17,1.51,,
February,4.69,0.89,1.50,2.57,5.10,1.15,2.37,1.71,1.48,0.94,,
March,1.68,3.45,1.59,4.92,2.24,4.37,1.98,0.92,3.69,4.13,,
April,1.50,3.14,2.17,2.27,1.35,2.92,1.05,2.34,3.81,2.37,,
May,2.39,0.99,2.30,4.01,2.14,0.40,2.45,3.22,2.48,1.22,,
June,2.94,2.30,3.35,3.56,1.30,2.70,1.83,2.64,1.20,3.18,,
July,2.23,2.18,2.11,3.95,2.75,1.59,0.90,3.98,2.86,3.00,,
August,4.19,2.33,3.69,6.29,2.40,5.90,1.86,2.40,4.07,1.66,,
September,0.77,2.78,2.69,3.42,2.22,1.62,0.90,0.62,2.53,3.18,,
October,5.32,2.09,3.01,7.86,0.96,1.96,5.30,7.18,2.43,5.48,,
November,3.41,1.15,4.15,1.78,1.80,3.63,3.10,2.53,2.46,1.25,,
December,5.66,5.83,2.67,2.87,2.55,0.78,2.23,3.64,4.06,5.78,,
Total,39.36,29.83,30.97,47.50,28.83,28.08,29.36,32.78,32.24,33.70,,
Calc annual,39.36,29.83,30.97,47.50,28.83,28.08,29.36,32.78,32.24,33.70,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
