"STILLORGAN WHITE CROSS",,,,,,,,,,,,
Grid ref,IO2058227523,Long,-6.192509,Lat,53.284532,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.38,4.64,0.44,2.06,,,
February,,,,,,0.83,1.50,1.19,1.26,,,
March,,,,,,3.19,1.68,1.33,3.59,,,
April,,,,,,3.12,1.70,2.49,2.59,,,
May,,,,,,1.66,2.57,3.56,1.28,,,
June,,,,,,2.05,1.00,2.42,,,,
July,,,,,,0.91,1.00,1.82,,,,
August,,,,,,7.55,1.54,2.64,,,,
September,,,,,,1.15,0.50,1.07,,,,
October,,,,,,1.28,4.03,5.62,,,,
November,,,,,,4.09,1.38,2.91,,,,
December,,,,,,1.95,1.85,3.12,,,,
Total,,,,,,30.16,23.39,28.61,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.16,23.39,28.61,10.78,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,,
