"PULHAM ST MARY",,,,,,,,,,,,
Grid ref,TM207853,Long,1.244295,Lat,52.421129,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.95,0.70,3.57,1.44,0.80,0.50,,
February,,,,,2.74,1.16,2.20,1.27,2.05,0.89,,
March,,,,,1.25,1.71,1.95,1.33,1.97,2.32,,
April,,,,,1.04,2.39,0.72,3.32,3.09,1.22,,
May,,,,,2.04,1.14,2.61,2.76,1.88,1.17,,
June,,,,,1.18,2.89,2.30,4.16,0.54,2.99,,
July,,,,,1.81,0.48,1.00,2.04,3.57,2.29,,
August,,,,3.62,1.91,2.93,1.30,1.29,3.24,1.85,,
September,,,,2.34,1.08,1.78,1.18,0.42,1.22,2.25,,
October,,,,2.99,0.98,2.61,3.69,2.93,1.44,3.47,,
November,,,,1.06,1.42,1.48,4.16,2.41,1.49,1.08,,
December,,,,0.60,1.73,1.05,1.65,2.69,1.43,4.58,,
Total,,,,,19.13,20.32,26.33,26.06,22.72,24.61,,
Calc annual,0.00,0.00,0.00,10.61,19.13,20.32,26.33,26.06,22.72,24.61,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
