"HAWKHURST SANDHURST RECTORY",,,,,,,,,,,,
Grid ref,TQ788276,Long,0.547932,Lat,51.019972,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,0.95,1.00,2.73,4.64,1.34,4.41,1.04,1.50,,,
February,6.38,2.03,1.81,1.62,3.38,0.91,2.54,1.55,1.15,,,
March,1.63,1.89,1.57,2.83,1.57,4.35,1.90,0.93,2.88,,,
April,1.29,2.72,1.01,2.08,1.01,2.56,1.23,3.83,2.54,,,
May,0.83,0.82,2.31,2.68,2.35,1.53,2.01,2.58,1.48,,,
June,2.44,1.52,2.43,3.97,1.11,4.77,1.49,1.87,2.15,,,
July,1.28,4.31,1.08,4.63,2.19,0.81,0.70,1.57,2.81,,,
August,2.39,2.17,4.06,3.58,1.28,2.61,0.91,1.50,3.61,,,
September,1.17,0.73,1.04,3.57,1.06,3.60,1.98,0.72,2.26,,,
October,2.79,2.24,2.27,5.13,2.02,2.88,5.00,5.57,2.21,,,
November,3.48,0.65,2.93,2.52,1.82,5.42,7.58,2.92,1.17,,,
December,3.78,5.79,2.39,2.24,3.75,0.79,2.38,3.11,3.80,,,
Total,31.46,25.82,23.90,37.58,26.18,31.57,32.13,27.19,27.56,,,
Calc annual,31.46,25.82,23.90,37.58,26.18,31.57,32.13,27.19,27.56,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
