"KIRKCUDBRIGHT BALMAE",,,,,,,,,,,,
Grid ref,NX6846344920,Long,-4.046806,Lat,54.781891,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.27,1.93,4.15,2.50,1.53,4.00,1.60,3.33,1.81,,
February,,1.26,2.64,3.25,3.05,1.70,2.25,1.25,1.95,2.21,,
March,,1.84,1.32,4.94,1.72,2.00,1.35,4.68,3.46,3.52,,
April,,2.95,2.12,3.40,1.75,0.95,0.46,1.10,1.98,3.77,,
May,,1.00,2.00,1.20,1.65,0.65,3.10,4.20,2.89,1.45,,
June,,1.25,1.75,0.40,1.60,0.70,1.40,5.20,1.96,2.97,,
July,,0.99,2.80,4.60,1.80,0.80,2.30,5.90,3.65,3.23,,
August,,4.30,2.55,2.14,4.07,3.59,4.10,5.17,4.55,2.40,,
September,,2.63,2.50,3.63,3.75,1.40,1.17,0.70,3.90,3.50,,
October,,4.68,2.96,8.25,1.64,2.16,4.38,7.70,1.70,8.07,,
November,,4.35,2.80,3.10,2.25,3.35,2.25,3.93,2.45,1.22,,
December,,3.12,4.12,1.95,2.85,2.38,,4.65,4.29,5.20,,
Total,,30.64,29.49,41.01,28.63,21.21,,46.08,36.11,39.35,,
Calc annual,0.00,30.64,29.49,41.01,28.63,21.21,26.76,46.08,36.11,39.35,,
Difference,NaN,0.00,-0.00,0.00,-0.00,0.00,NaN,0.00,0.00,0.00,,
