"WYMONDHAM HETHERSETT",,,,,,,,,,,,
Grid ref,TG153050,Long,1.177755,Lat,52.600110,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,0.52,1.16,1.62,,,,,,,,
February,2.90,1.81,0.59,0.24,,,,,,,,
March,1.03,1.87,0.96,1.77,,,,,,,,
April,1.43,2.48,1.25,2.37,,,,,,,,
May,1.82,1.21,3.66,1.96,,,,,,,,
June,3.18,1.26,2.39,2.55,,,,,,,,
July,1.60,1.59,2.30,,,,,,,,,
August,3.65,0.92,3.98,,,,,,,,,
September,0.61,0.92,1.04,,,,,,,,,
October,2.17,2.22,1.10,,,,,,,,,
November,2.34,2.37,0.82,,,,,,,,,
December,2.38,3.92,1.42,,,,,,,,,
Total,26.09,21.09,20.67,,,,,,,,,
Calc annual,26.09,21.09,20.67,10.51,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
