"BRIGHSTONE RECTORY",,,,,,,,,,,,
Grid ref,SZ429826,Long,-1.394665,Lat,50.641517,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.68,0.74,1.31,,
February,,,,,,,,1.08,1.11,0.31,,
March,,,,,,,,0.57,2.39,3.73,,
April,,,,,,,,3.75,1.88,1.14,,
May,,,,,,,,1.60,1.23,1.03,,
June,,,,,,,,1.85,1.39,2.83,,
July,,,,,,,,1.15,1.57,2.30,,
August,,,,,,,,1.17,1.48,2.45,,
September,,,,,,,,0.98,2.21,4.09,,
October,,,,,,,,7.37,,8.43,,
November,,,,,,,,2.19,1.01,1.16,,
December,,,,,,,,2.55,2.92,3.91,,
Total,,,,,,,,24.94,,32.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.94,17.93,32.69,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
