"DUNFERMLINE FORDELL HOUSE",,,,,,,,,,,,
Grid ref,NT1495485215,Long,-3.367051,Lat,56.052210,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.53,1.20,3.32,1.31,3.47,2.96,,
February,,,,,3.66,1.20,1.25,1.63,1.71,1.34,,
March,,,,,1.70,3.65,2.14,2.91,3.70,4.53,,
April,,,,,2.62,2.20,1.09,1.37,1.75,3.47,,
May,,,,,3.26,1.56,5.91,3.29,2.43,3.36,,
June,,,,,1.53,0.64,1.95,3.91,1.39,1.42,,
July,,,,,1.66,2.22,1.79,3.09,3.27,3.30,,
August,,,,,4.40,2.95,5.55,4.03,3.14,3.54,,
September,,,,,1.78,2.01,1.13,1.27,4.32,2.54,,
October,,,,,1.07,2.26,5.31,8.40,2.44,3.89,,
November,,,,,0.95,4.94,4.98,1.64,1.89,0.56,,
December,,,,,3.28,2.26,1.47,4.17,0.72,3.69,,
Total,,,,,28.44,27.09,35.89,37.02,30.23,34.60,,
Calc annual,0.00,0.00,0.00,0.00,28.44,27.09,35.89,37.02,30.23,34.60,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
