"MULL QUINISH",,,,,,,,,,,,
Grid ref,NM415540,Long,-6.213916,Lat,56.606370,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.58,4.49,5.71,6.69,7.13,4.29,6.81,4.59,6.02,6.50,,
February,4.24,3.33,2.57,7.92,5.47,5.03,4.65,4.52,4.79,3.62,,
March,0.39,3.01,5.78,7.77,3.95,7.93,2.68,5.06,5.90,1.62,,
April,3.86,4.44,3.33,2.35,6.17,3.14,2.95,3.54,1.33,4.03,,
May,4.41,1.95,2.58,3.32,3.84,3.40,4.40,3.74,2.77,3.62,,
June,3.56,4.67,1.36,2.34,3.84,1.24,1.30,3.48,3.70,1.19,,
July,4.73,1.87,3.51,5.00,2.87,3.75,4.49,2.83,4.36,4.73,,
August,6.68,6.04,4.54,8.08,5.84,4.20,3.55,7.99,4.69,3.75,,
September,5.97,5.65,6.72,3.22,4.61,5.96,4.44,1.79,7.05,2.41,,
October,8.52,9.82,4.79,11.51,5.30,6.21,7.47,3.80,2.30,7.99,,
November,6.36,5.85,5.70,5.36,4.35,5.80,5.43,6.70,4.87,4.51,,
December,11.33,6.59,6.02,5.70,4.58,5.37,6.31,7.02,7.22,5.47,,
Total,67.63,57.71,52.61,69.26,57.95,56.32,54.48,55.06,55.00,49.44,,
Calc annual,67.63,57.71,52.61,69.26,57.95,56.32,54.48,55.06,55.00,49.44,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
