"DISS COUNCIL SCHOOL",,,,,,,,,,,,
Grid ref,TM115800,Long,1.105871,Lat,52.377184,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.62,,
February,,,,,,,,,,0.71,,
March,,,,,,,,,,2.35,,
April,,,,,,,,,,1.19,,
May,,,,,,,,,,1.34,,
June,,,,,,,,,,3.46,,
July,,,,,,,,,,2.53,,
August,,,,,,,,,,1.76,,
September,,,,,,,,,,2.32,,
October,,,,,,,,,1.01,3.21,,
November,,,,,,,,,1.36,0.92,,
December,,,,,,,,,1.50,4.32,,
Total,,,,,,,,,,24.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.87,24.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
