"THRELKELD BLENCATHRA SANATORIUM",,,,,,,,,,,,
Grid ref,NY302255,Long,-3.082469,Lat,54.619800,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.22,4.86,,
February,,,,,,,,,5.14,5.41,,
March,,,,,,,,,5.28,4.61,,
April,,,,,,,,,3.09,3.40,,
May,,,,,,,,,4.04,2.06,,
June,,,,,,,,,2.94,3.84,,
July,,,,,,,,,5.18,9.54,,
August,,,,,,,,,7.81,4.74,,
September,,,,,,,,,6.09,3.82,,
October,,,,,,,,,2.77,10.78,,
November,,,,,,,,,4.33,3.12,,
December,,,,,,,,,4.36,7.20,,
Total,,,,,,,,,56.25,63.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.25,63.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
