"BERE REGIS BLOXWORTH HOUSE",,,,,,,,,,,,
Grid ref,SY879949,Long,-2.172893,Lat,50.753570,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.46,2.16,1.32,3.01,6.34,1.14,8.81,1.20,1.13,1.16,,
February,6.01,1.58,2.16,2.17,5.14,0.77,3.96,1.51,1.36,0.77,,
March,1.21,2.54,2.45,4.29,1.78,5.63,1.18,0.65,3.14,5.20,,
April,1.30,3.53,2.09,3.60,1.26,2.16,1.39,4.03,2.41,1.65,,
May,1.64,0.51,2.07,3.66,3.07,0.32,2.60,2.05,3.09,1.52,,
June,2.51,1.55,3.16,2.67,1.26,2.12,1.41,2.18,0.29,4.68,,
July,1.50,2.48,2.03,3.18,3.47,0.43,1.04,1.28,1.96,2.67,,
August,2.97,1.99,3.96,5.12,4.40,3.36,0.86,1.66,4.52,3.12,,
September,1.50,4.63,1.47,2.57,2.48,2.28,0.89,0.71,2.59,3.21,,
October,3.36,2.51,2.59,9.08,2.39,2.60,6.32,10.72,3.54,7.80,,
November,4.71,0.58,4.62,1.89,1.87,5.46,5.25,3.58,1.18,0.86,,
December,5.96,5.53,1.86,3.98,3.92,1.08,1.95,3.99,3.44,5.57,,
Total,37.13,29.59,29.78,45.22,37.38,27.35,35.66,33.56,28.65,38.21,,
Calc annual,37.13,29.59,29.78,45.22,37.38,27.35,35.66,33.56,28.65,38.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
