"CUDWORTH LUND LANE SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SE380070,Long,-1.427827,Lat,53.558253,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.25,,
February,,,,,,,,,,0.60,,
March,,,,,,,,,,3.29,,
April,,,,,,,,,,1.82,,
May,,,,,,,,,,2.05,,
June,,,,,,,,,,3.92,,
July,,,,,,,,,,3.84,,
August,,,,,,,,,,2.31,,
September,,,,,,,,,,2.65,,
October,,,,,,,,,,1.90,,
November,,,,,,,,,,0.45,,
December,,,,,,,,,,5.45,,
Total,,,,,,,,,,29.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
