"WIMBORNE WESTFIELD",,,,,,,,,,,,
Grid ref,SU007001,Long,-1.991434,Lat,50.800460,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,5.80,0.96,,,,,,
February,,,,,4.59,0.55,,,,,,
March,,,,,1.07,5.76,,,,,,
April,,,,,1.91,2.05,,,,,,
May,,,,,2.73,0.72,,,,,,
June,,,,,1.03,2.11,,,,,,
July,,,,,3.76,1.60,,,,,,
August,,,,,3.85,3.31,,,,,,
September,,,,,3.07,2.41,,,,,,
October,,,,7.76,2.90,1.99,,,,,,
November,,,,3.93,1.62,5.31,,,,,,
December,,,,3.99,4.31,1.61,,,,,,
Total,,,,,36.64,28.38,,,,,,
Calc annual,0.00,0.00,0.00,15.68,36.64,28.38,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
