"WELLS BLUE SCHOOL",,,,,,,,,,,,
Grid ref,ST544457,Long,-2.654152,Lat,51.208676,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.56,1.42,2.04,,,
February,,,,,,,2.54,2.32,1.76,,,
March,,,,,,,2.32,1.01,3.36,,,
April,,,,,,,1.03,5.00,2.70,,,
May,,,,,,,3.97,2.41,1.81,,,
June,,,,,,,2.67,3.04,0.54,,,
July,,,,,,,1.44,3.08,3.55,,,
August,,,,,,,2.96,3.94,4.77,,,
September,,,,,,,1.22,0.71,2.71,,,
October,,,,,,,6.66,5.37,1.77,,,
November,,,,,,,3.60,3.49,1.24,,,
December,,,,,,,3.43,5.04,3.39,,,
Total,,,,,,25.01,36.40,36.83,29.64,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.40,36.83,29.64,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,25.01,0.00,-0.00,0.00,NaN,,
