"GLASGOW BELVEDERE HOSPITAL",,,,,,,,,,,,
Grid ref,NS624636,Long,-4.199237,Lat,55.845921,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.99,2.43,3.10,6.80,3.77,1.92,4.64,2.55,3.94,3.79,,
February,2.87,1.37,0.79,7.16,1.78,2.30,3.01,2.62,2.97,1.87,,
March,0.58,1.58,1.99,7.10,1.49,3.06,3.20,4.15,3.76,2.35,,
April,1.83,2.85,0.51,1.64,3.63,1.90,1.18,2.05,1.28,2.98,,
May,2.12,2.17,1.86,2.29,3.54,1.63,4.75,4.41,2.32,2.20,,
June,4.53,3.75,1.96,1.93,1.45,0.45,1.35,4.13,2.16,2.76,,
July,3.69,1.60,2.72,3.19,2.27,2.54,1.97,2.75,2.35,3.44,,
August,3.71,3.81,2.13,5.88,3.11,3.14,4.63,5.46,2.74,3.00,,
September,2.97,2.84,3.07,3.43,2.68,1.86,1.67,1.27,3.48,1.91,,
October,4.84,4.31,2.19,7.47,1.26,2.27,5.70,6.87,1.20,4.40,,
November,5.68,2.93,2.40,2.23,2.40,3.13,4.50,1.92,2.60,2.01,,
December,7.07,4.15,5.19,2.64,3.61,2.88,4.00,5.13,2.84,4.12,,
Total,44.88,33.79,27.91,51.76,30.99,27.08,40.60,43.31,31.64,34.83,,
Calc annual,44.88,33.79,27.91,51.76,30.99,27.08,40.60,43.31,31.64,34.83,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
