"GLENLEVEN, KINLOCHMORE",,,,,,,,,,,,
Grid ref,NN192621,Long,-4.955777,Lat,56.715465,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,17.26,11.85,10.34,14.93,9.45,12.56,12.61,,
February,,,,17.58,8.11,9.88,7.47,10.96,9.25,8.95,,
March,,,,17.66,4.10,10.76,9.04,8.86,10.75,1.64,,
April,,,,4.52,12.45,4.30,4.85,3.93,2.34,5.45,,
May,,,,3.72,8.20,5.07,6.03,7.41,4.41,6.42,,
June,,,,3.88,5.69,3.49,2.28,6.93,7.92,1.69,,
July,,,,7.58,4.69,5.40,6.43,4.19,4.13,6.84,,
August,,,,12.82,9.52,8.98,6.28,10.67,7.06,6.83,,
September,,,,7.56,8.21,10.21,5.45,3.51,10.50,4.39,,
October,,,,15.95,6.41,6.70,12.87,4.99,3.57,16.03,,
November,,,,8.17,6.31,9.08,8.05,9.26,9.35,8.02,,
December,,,,6.34,10.64,8.87,9.93,9.99,10.15,7.90,,
Total,,,,123.04,96.18,93.08,93.61,90.15,91.99,86.77,,
Calc annual,0.00,0.00,0.00,123.04,96.18,93.08,93.61,90.15,91.99,86.77,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
