"SION MILLS (SION HOUSE)",,,,,,,,,,,,
Grid ref,IH3390093200,Long,-7.473776,Lat,54.785709,,,,,,,
Station no,6254,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.78,4.39,,
February,,,,,,,,,3.44,3.21,,
March,,,,,,,,,5.32,3.69,,
April,,,,,,,,,2.57,3.37,,
May,,,,,,,,4.19,2.54,2.19,,
June,,,,,,,,5.74,2.02,1.27,,
July,,,,,,,,3.03,2.08,3.70,,
August,,,,,,,,3.69,2.32,2.54,,
September,,,,,,,,1.31,6.72,2.17,,
October,,,,,,,,4.08,1.24,6.18,,
November,,,,,,,,2.73,3.18,2.29,,
December,,,,,,,,4.37,4.48,4.24,,
Total,,,,,,,,,39.69,39.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,39.69,39.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
