"VANGE PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ729874,Long,0.492828,Lat,51.558981,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.83,,
February,,,,,,,,,,0.78,,
March,,,,,,,,,,2.15,,
April,,,,,,,,,,1.57,,
May,,,,,,,,,,1.00,,
June,,,,,,,,,,2.59,,
July,,,,,,,,,,3.64,,
August,,,,,,,,,,1.88,,
September,,,,,,,,,,1.78,,
October,,,,,,,,,,3.64,,
November,,,,,,,,,,0.84,,
December,,,,,,,,,,2.72,,
Total,,,,,,,,,,23.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
