"NORTH LEVEL ENGINE (THORNE, DONCASTER)",,,,,,,,,,,,
Grid ref,SE749098,Long,-0.870208,Lat,53.579456,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.53,0.83,0.84,1.53,1.79,0.56,2.20,0.65,0.96,,,
February,2.76,1.21,1.37,0.87,2.51,0.58,1.99,1.17,1.56,,,
March,0.56,1.19,1.20,2.12,1.40,2.07,1.23,1.16,2.47,,,
April,1.19,1.31,1.87,1.26,1.07,2.07,0.70,1.54,2.48,,,
May,0.96,0.62,2.34,2.88,2.10,0.41,1.32,2.80,2.16,,,
June,1.97,1.04,2.01,1.58,0.57,1.53,1.45,3.08,1.14,,,
July,1.64,2.99,1.62,2.54,1.67,1.17,0.54,1.82,3.60,,,
August,3.86,1.81,2.12,2.86,3.66,2.70,1.20,1.72,1.56,,,
September,0.80,0.88,0.55,3.28,1.40,1.41,0.78,0.62,1.37,,,
October,2.12,1.73,2.32,5.62,0.38,1.41,4.58,4.33,0.50,,,
November,2.23,2.65,1.28,1.11,0.93,2.39,2.50,2.03,0.76,,,
December,2.63,4.46,1.60,0.66,1.49,0.32,2.08,2.38,1.13,,,
Total,23.25,20.72,19.12,26.31,18.97,16.62,20.57,23.30,19.69,,,
Calc annual,23.25,20.72,19.12,26.31,18.97,16.62,20.57,23.30,19.69,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
