"LIMERICK, ST MICHAEL'S SCHOOLS",,,,,,,,,,,,
Grid ref,IR5741656473,Long,-8.630111,Lat,52.658056,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.30,4.60,1.80,2.50,2.90,,
February,,,,,,,3.50,2.50,2.30,1.30,,
March,,,,,,7.30,3.20,2.10,3.20,3.30,,
April,,,,,,2.55,1.50,3.20,1.90,4.70,,
May,,,,,,1.00,2.90,3.30,3.30,1.50,,
June,,,,,,1.60,3.20,4.60,1.10,2.90,,
July,,,,,,1.50,3.00,2.60,2.40,3.50,,
August,,,,,,4.40,2.50,3.70,4.60,1.30,,
September,,,,,,1.70,1.60,1.80,5.80,3.40,,
October,,,,,,1.60,4.80,4.60,1.20,5.90,,
November,,,,,,2.90,1.80,3.80,2.50,1.90,,
December,,,,,,1.50,4.00,4.40,3.90,4.00,,
Total,,,,,,28.35,36.60,38.40,34.70,36.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.35,36.60,38.40,34.70,36.60,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
