"BERRIEDALE, LANGWELL",,,,,,,,,,,,
Grid ref,ND113228,Long,-3.510127,Lat,58.185085,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,2.50,2.07,3.00,1.85,2.67,3.40,4.05,2.68,3.20,,
February,2.05,2.98,1.67,3.85,3.10,3.49,5.90,3.00,5.00,1.60,,
March,2.37,1.96,2.60,1.99,1.27,4.10,2.90,1.80,3.50,2.60,,
April,3.00,3.29,1.29,3.21,4.30,1.95,1.76,1.42,3.03,2.40,,
May,1.88,2.07,2.81,2.04,1.50,0.85,5.00,1.80,2.55,2.10,,
June,2.40,3.47,1.58,0.90,1.27,0.53,0.36,5.10,1.80,2.27,,
July,4.34,1.34,2.87,5.95,1.32,1.80,2.62,1.80,2.10,2.40,,
August,3.01,3.61,1.49,4.13,2.56,3.84,2.16,3.60,1.20,2.79,,
September,3.26,1.17,2.33,3.03,3.45,2.75,1.90,0.77,6.32,1.89,,
October,3.12,3.69,2.69,5.77,2.66,4.92,3.07,2.60,1.11,4.56,,
November,3.69,2.77,0.97,3.36,2.10,4.10,8.03,1.89,4.20,5.03,,
December,4.47,4.12,3.07,1.20,2.78,2.09,3.00,1.89,1.70,2.13,,
Total,37.34,32.97,25.44,38.43,28.16,33.09,40.10,29.72,35.19,32.97,,
Calc annual,37.34,32.97,25.44,38.43,28.16,33.09,40.10,29.72,35.19,32.97,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
