"GLENREASDELL MAINS",,,,,,,,,,,,
Grid ref,NR866583,Long,-5.403737,Lat,55.770819,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.67,6.20,4.57,,
February,,,,,,,,2.92,3.10,2.89,,
March,,,,,,,,4.95,5.30,2.86,,
April,,,,,,,,2.45,1.93,3.67,,
May,,,,,,,,4.63,3.31,2.43,,
June,,,,,,,1.42,4.40,3.05,2.76,,
July,,,,,,,2.81,2.98,5.79,5.60,,
August,,,,,,,4.84,6.13,5.33,3.64,,
September,,,,,,,3.36,1.83,6.84,2.14,,
October,,,,,,,9.61,6.51,2.23,6.78,,
November,,,,,,,5.16,6.10,4.60,2.83,,
December,,,,,,,4.63,7.58,7.24,5.44,,
Total,,,,,,,,53.15,54.92,45.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.83,53.15,54.92,45.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
