"EDENDERRY",,,,,,,,,,,,
Grid ref,IN6286632745,Long,-7.056795,Lat,53.341428,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.51,3.69,1.20,3.39,,,
February,,,,,,1.30,2.00,1.95,1.74,,,
March,,,,,,3.50,2.13,2.77,3.29,,,
April,,,,,,2.36,1.73,2.79,1.84,,,
May,,,,,,0.86,3.47,3.62,3.07,,,
June,,,,,,3.25,2.41,3.20,1.99,,,
July,,,,,,1.41,1.70,3.63,2.65,,,
August,,,,,,6.15,2.61,2.46,2.55,,,
September,,,,,,1.92,1.68,1.54,6.09,,,
October,,,,,,1.26,4.46,4.43,2.20,,,
November,,,,,,2.93,1.65,2.94,2.22,,,
December,,,,,,2.09,2.54,3.30,3.02,,,
Total,,,,,,28.54,30.07,33.83,34.05,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.54,30.07,33.83,34.05,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
