"RATHMINES LEINSTER ROAD",,,,,,,,,,,,
Grid ref,IO1515731678,Long,-6.272319,Lat,53.323061,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.59,2.54,1.83,3.26,2.82,1.98,4.50,0.43,2.27,1.24,,
February,3.17,1.20,1.72,2.13,3.89,0.89,1.74,1.22,1.44,0.63,,
March,0.97,1.77,1.70,3.94,2.27,2.76,1.64,1.77,3.00,2.71,,
April,1.20,0.84,1.92,1.07,1.22,2.72,1.56,2.19,2.36,3.95,,
May,1.86,0.92,2.75,2.40,2.24,1.35,2.44,3.17,1.38,1.25,,
June,2.81,1.43,2.54,2.62,1.04,1.07,1.32,2.45,1.54,2.07,,
July,4.24,2.14,2.97,4.26,1.17,0.77,1.02,2.10,2.20,3.00,,
August,6.21,2.89,2.82,2.79,2.89,6.99,1.86,2.49,3.23,1.24,,
September,0.95,3.56,2.85,3.33,2.58,1.28,0.58,0.59,2.28,1.83,,
October,3.31,2.29,3.01,2.52,0.45,1.30,3.60,5.07,1.17,2.79,,
November,5.01,3.72,3.12,2.17,1.05,3.73,1.51,2.82,1.33,1.42,,
December,1.68,2.09,1.59,1.70,1.48,1.32,1.72,2.20,1.80,5.05,,
Total,34.00,25.39,28.82,32.19,23.10,26.16,23.49,26.50,24.00,27.18,,
Calc annual,34.00,25.39,28.82,32.19,23.10,26.16,23.49,26.50,24.00,27.18,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
