"LOCHGOILHEAD, NUTHILL",,,,,,,,,,,,
Grid ref,NN202002,Long,-4.896872,Lat,56.160461,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,9.86,7.72,11.38,7.59,8.74,9.39,,
February,,,,,6.94,7.60,7.22,7.30,6.58,4.36,,
March,,,,,5.52,9.66,6.22,7.66,8.86,2.62,,
April,,,,,11.90,4.96,3.77,4.75,2.57,4.40,,
May,,,,,6.74,2.80,7.09,7.07,3.99,4.71,,
June,,,,,5.24,2.47,1.53,6.99,3.93,4.24,,
July,,,,,4.14,4.07,4.76,3.25,5.39,5.61,,
August,,,,,6.69,7.78,7.29,8.79,5.42,4.78,,
September,,,,,7.59,5.84,4.35,2.43,9.68,3.03,,
October,,,,,6.47,5.76,11.26,5.29,3.30,10.00,,
November,,,,,5.00,10.01,7.14,6.34,7.61,6.18,,
December,,,,,8.62,7.67,7.58,8.21,8.23,10.23,,
Total,,,,,84.71,76.34,79.59,75.67,74.30,69.55,,
Calc annual,0.00,0.00,0.00,0.00,84.71,76.34,79.59,75.67,74.30,69.55,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,-0.00,-0.00,,
