"BALMERINO",,,,,,,,,,,,
Grid ref,NO357246,Long,-3.043608,Lat,56.409240,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.46,,1.05,4.49,,,,,,,,
February,2.83,,1.24,3.97,,,,,,,,
March,1.55,,0.83,2.88,,,,,,,,
April,1.40,,1.51,0.93,,,,,,,,
May,1.78,,1.66,1.45,,,,,,,,
June,1.74,,1.66,1.82,,,,,,,,
July,4.06,,2.80,3.69,,,,,,,,
August,4.94,,2.24,4.58,,,,,,,,
September,1.88,,1.11,2.13,,,,,,,,
October,3.28,,1.20,5.12,,,,,,,,
November,5.07,,2.63,0.93,,,,,,,,
December,3.50,,3.73,2.57,,,,,,,,
Total,35.49,,21.66,34.56,,,,,,,,
Calc annual,35.49,0.00,21.66,34.56,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
