"BUDLEIGH SALTERTON, KNOWLE HOUSE",,,,,,,,,,,,
Grid ref,SY047828,Long,-3.348998,Lat,50.637075,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.91,1.39,,
February,,,,,,,,,1.69,0.45,,
March,,,,,,,,,2.22,4.31,,
April,,,,,,,,,2.69,1.71,,
May,,,,,,,,,1.70,1.03,,
June,,,,,,,,,0.54,3.04,,
July,,,,,,,,,1.94,2.73,,
August,,,,,,,,,2.80,1.82,,
September,,,,,,,,,2.73,1.20,,
October,,,,,,,,,1.90,5.11,,
November,,,,,,,,,0.80,0.43,,
December,,,,,,,,,2.98,4.10,,
Total,,,,,,,,,22.90,27.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.90,27.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
