"BACUP MOORVIEW BRITTANNIA",,,,,,,,,,,,
Grid ref,SD884220,Long,-2.177153,Lat,53.694312,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.50,7.84,2.37,4.75,,,
February,,,,,,2.59,5.27,3.24,4.69,,,
March,,,,,,4.34,4.17,4.38,3.79,,,
April,,,,,,4.22,2.41,2.65,2.99,,,
May,,,,,,1.01,5.02,4.87,3.95,,,
June,,,,,,3.28,2.41,9.45,2.28,,,
July,,,,,,3.11,2.14,2.78,6.27,,,
August,,,,,,6.13,5.27,5.16,5.09,,,
September,,,,,,3.59,1.69,1.22,5.05,,,
October,,,,,,4.54,8.61,6.27,,,,
November,,,,,,5.76,5.34,3.92,,,,
December,,,,,,1.03,5.44,6.07,,,,
Total,,,,,,42.10,55.61,52.38,49.98,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,42.10,55.61,52.38,38.86,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,11.12,NaN,,
